nom,code_postal,ville,siret,adresse
"Tribunal judiciaire de Montauban","82000","MONTAUBAN","17310111400143","Place du Coq"
"Tribunal judiciaire de Sens","89100","SENS","17750111100146","1 rue du palais de justice"
"Tribunal de proximité d'Antony","92160","ANTONY","17780111500250","1 place Auguste Mounié"
"Tribunal judiciaire de Belfort","90000","BELFORT","17250111600146","9 place de la République"
"Tribunal judiciaire de Nanterre","92000","NANTERRE","17780111500151","179-191 Avenue Joliot Curie"
"Tribunal judiciaire de Saint-Brieuc","22000","ST BRIEUC","17350111500153","Parc des Promenades"
"Tribunal judiciaire de Rennes","35700","RENNES","17350111500161","7 Rue Pierre Abélard"
"Tribunal judiciaire d'Amiens","80090","AMIENS","17800111100164","14 Rue Robert de Luzarches"
"Tribunal judiciaire de Sarreguemines","57200","SARREGUEMINES","17570111900166","Place du Général Sibille"
"Tribunal judiciaire de Valenciennes","59300","VALENCIENNES","17590111500170","6 avenue des dentellieres"
"Tribunal judiciaire de Thionville","57100","THIONVILLE","17570111900182","Quai Pierre Marchal"
"Tribunal judiciaire de Saint-Nazaire","44600","ST NAZAIRE","17350111500187","77 Rue Albert de Mun"
"Tribunal judiciaire de Saintes","17100","SAINTES","17860111800205","Square Maréchal Foch"
"Tribunal judiciaire de Carpentras","84200","CARPENTRAS","17300111600206","52 place Charles de Gaulle"
"Tribunal judiciaire de Bastia","20200","BASTIA","17202111500206","Rond Point de Moro Giafferi"
"Tribunal judiciaire d'Epinal","88000","EPINAL","17540111600207","Place Edmond Henry"
"Tribunal judiciaire de Brive-la-Gaillarde","19100","BRIVE LA GAILLARDE","17870111600208","Boulevard du Maréchal Lyautey"
"Tribunal judiciaire de Mamoudzou","97650","MAMOUDZOU","17974111100209","Route Nationale 1 Kawéni"
"Tribunal judiciaire d'Argentan","61200","ARGENTAN","17140111000217","rue des Anciens Combattants"
"Tribunal judiciaire d'Avignon","84140","AVIGNON","17300111600222","2 Boulevard Limbert"
"Tribunal judiciaire de Chambéry","73000","CHAMBERY","17730111600238","place du Palais de Justice"
"Tribunal judiciaire de Saint-Etienne","42100","ST ETIENNE","17690111400247","Place du Palais de Justice"
"Tribunal judiciaire de Laon","02000","LAON","17800111100248","Place Aubry"
"Tribunal judiciaire de Dax","40100","DAX","17640111500264","Rue des Fusillés"
"Tribunal judiciaire de Verdun","55100","VERDUN","17540111600264","Place Saint-Paul"
"Tribunal judiciaire de Coutances","50200","COUTANCES","17140111000274","10a rue du palais de justice"
"Tribunal judiciaire de Strasbourg","67100","STRASBOURG","17680111600276","1 quai Finkmatt"
"Tribunal judiciaire de Gap","05000","GAP","17380111900277","Place Saint-Arnoux"
"Tribunal judiciaire de Montluçon","03100","MONTLUCON","17630111700279","114 Boulevard de Courtais"
"Tribunal judiciaire de Vesoul","70000","VESOUL","17250111600286","14 place du 11ème chasseurs"
"Tribunal judiciaire de Nice","06000","NICE","17130111200289","Place du Palais"
"Tribunal judiciaire de Castres","81100","CASTRES","17310111400291","4 Rue du Palais"
