id,description
curatelle_simple,curatelle simple
curatelle_renforcee,curatelle renforcée
tutelle,tutelle
sauvegarde_justice,sauvegarde justice avec mandat spécial
maj,mesure d'accompagnement judiciaire
subroge_curateur,subrogé curateur
subroge_tuteur,subrogé tuteur
mandat_protection_future,mandat protection future
mesure_ad_hoc,mesure ad hoc
